codice esercizio,PROVINCIA,COMUNE,CATEGORIA,DENOMINAZIONE,name,operator,LOCALITA,FRAZIONE,INDIRIZZO 1,INDIRIZZO 2,CAP,TELEFONO,CELLULARE,FAX,EMAIL,SITO,N_CAMERE,N_POSTI_LETTO,N_BAGNI,oh,PERIODO_APERTURA 1,PERIODO_APERTURA 2,PERIODO_APERTURA 3,PERIODO_APERTURA 4,PERIODO_APERTURA 5,PERIODO_APERTURA 6,PERIODO_APERTURA 7,PERIODO_APERTURA 8,lat,lng
48460,GORIZIA,CORMONS,Superior,B&B da Sandruta di Zanuttin Stefano,B&B da Sandruta ,Zanuttin Stefano,-,-,Via Gorizia, 18/3,34071,+39 0481 630887,+39 328 1792456,,dasandruta@yahoo.it,,1,4,1,"Jan 01 - Aug 11, Aug 13 - Dec 31",Jan 01 - Aug 11,Aug 13 - Dec 31,,,,,,,45.9525093,13.4709956
40080,GORIZIA,CORMONS,Superior,B&B Morena di Picech Morena,B&B Morena ,Picech Morena,-,-,Via Bancaria,17,34071,+39 0481 630370,+39 328 8690394,+39 0481 630670,corradomorena@alice.it,,2,4,2,Jan 10 - Dec 20,Jan 10 - Dec 20,,,,,,,,45.9543228,13.4664309
2455,GORIZIA,CORMONS,Superior,La Casa di Alice di Brandolin Anna,La Casa di Alice ,Brandolin Anna,-,-,Via Ara Pacis,22,34071,,+39 335 377994,+39 0481 61743,annabrandolin@tiscali.it,http://www.wel.it/alice,4,8,4,Mar 15 - Dec 15,Mar 15 - Dec 15,,,,,,,,45.9525673,13.4636972
34720,GORIZIA,CORMONS,Standard,Al Piave di Mrmolja Zora,Al Piave ,Mrmolja Zora,-,-,Via Piave, 29/3,34071,+39 0481 60250,+39 329 2128745,+39 0481 60250,,,1,4,1,"Jan 01 - Aug 14, Sep 01 - Dec 14",Jan 01 - Aug 14,Sep 01 - Dec 14,,,,,,,45.9596688,13.4665285
53582,GORIZIA,CORMONS,Comfort,B & B Kozovci di Sirk Adriano,B & B Kozovci ,Sirk Adriano,-,-,Via Subida,67,34071,+39 0481 60531,,+39 0481 61616,info@lasubida.it,http://www.lasubida.it,1,3,1,Jan 01 - Feb 16,Jan 01 - Feb 16,,,,,,,,45.9604427,13.4893099
66901,GORIZIA,CORMONS,Comfort,Sunny S House di Gaeta Ciro,Sunny S House ,Gaeta Ciro,-,-,Via Colombicchio, 4/TER,34071,,+39 335 1590350  338 4577939,,cirogaeta@alice.it,,1,3,1,Jan 01 - Dec 31,Jan 01 - Dec 31,,,,,,,,45.9634693,13.4678455
43640,GORIZIA,DOBERDÒ DEL LAGO,-,Villa Al Bosco di Stepanovic Radmila,Villa Al Bosco ,Stepanovic Radmila,DOBERD  DEL LAGO,JAMIANO,Via Primo maggio, 3/A,34070,,+39 333 7375197,,villaalbosco@yahoo.it,http://www.villa-albosco.it,2,4,2,Jun 01 - Aug 31,Jun 01 - Aug 31,,,,,,,,45.8180987,13.5784349
49461,GORIZIA,DOLEGNA DEL COLLIO,Standard,Casale Santa Rita di Travaglio Rita,Casale Santa Rita ,Travaglio Rita,VENCO ,-,Località Vencò,16,34070,+39 048 1639145,+39 340 0753210,+39 048 1629500,franco.giorgini@libero.it,,1,2,1,May 01 - Sep 30,May 01 - Sep 30,,,,,,,,46.0026965,13.4659899
3340,GORIZIA,DOLEGNA DEL COLLIO,-,Casa Delle Rose di Culot Maurizia,Casa Delle Rose ,Culot Maurizia,-,RUTTARS,Frazione Ruttars,17,34070,+39 347 7515804,,+39 0481 33997,info@casadellerose.it,http://www.casadellerose.it,2,5,1,May 01 - Sep 30,May 01 - Sep 30,,,,,,,,45.9851006,13.4863877
33840,GORIZIA,DOLEGNA DEL COLLIO,-,Il Girasole di Stafuzza Sabrina,Il Girasole ,Stafuzza Sabrina,-,-,Località Vencò,8,34070,+39 0481 61692,+39 338 8997339,,bb-girasole@email.it,,3,7,3,Mar 01 - Jul 15,Mar 01 - Jul 15,,,,,,,,46.0026965,13.4659899
