odonimo,ID
15 comunale,0
3 camini,1
748 - alpe adria trail,2
750- Sentiero Naturalistico Monte Matajur,3
899 - Sentiero Frassati,4
969 Variante,5
A13 - diramazione,6
A.G. - Anello delle Giulie,7
AG Anello delle Giulie,8
Alpe Adria Trail,9
Alta Via CAI Gemona,10
Alta Via C.A.I. Moggio,11
Alta Via CAI Pontebba,12
Alta Via dei Rondoi,13
Alta via n. 6,14
Alta Via Resiana,15
Alta Via Val d'Incaroio,16
Alta Via Val d'Incarojo,17
Androna Almerico d'Este,18
Androna Aquileia,19
Androna Barriera Vecchia,20
Androna Bernardo Benussi,21
Androna Campolongo,22
Androna Campo Marzio,23
Androna Celeste De Franceschi,24
Androna Cherso,25
Androna Chiusa,26
Androna Cristoforo Colombo,27
Androna Daniele Manin,28
Androna degli Orti,29
Androna degli Scalini,30
Androna dei Coppa,31
Androna dei Frati,32
Androna dei Grigioni,33
Androna dei Sergi,34
Androna del Campanile,35
Androna del Falco,36
Androna del Forno,37
Androna della Bora,38
Androna della Chiesa,39
Androna della Corte,40
Androna della Ferriera,41
Androna della Pace,42
Androna della Pergola,43
Androna della Torre,44
Androna delle Scuole,45
Androna delle Vigne,46
Androna dell'Olio,47
Androna del Pane,48
Androna del Pozzo,49
Androna del Torchio,50
Androna di Cavana,51
Androna di Romagna,52
Androna Ettore Oliani,53
Androna Fra' Paolo Naldini,54
Androna Giovanni Randaccio,55
Androna Giuseppe Caprin,56
Androna Giuseppe Picciola,57
Androna Marello,58
Androna Melchiorre Cesarotti,59
Androna Mezzavilla,60
Androna Palmada,61
Androna Pietro Zorutti,62
Androna Prima,63
Androna Riparata,64
Androna San Cilino,65
Androna San Fortunato,66
Androna San Giusto,67
Androna San Saverio,68
Androna San Sebastiano,69
Androna Sant'Antonio,70
Androna Santa Tecla,71
Androna Sant'Eufemia,72
Androna Santorio Santorio,73
Androna San Vito,74
Androna Seconda,75
Androna Sporcavilla,76
Androna S. Silvestro,77
Androna Valentinis,78
Androna Veneta,79
Androne Bearzi,80
Anello Buca del For,81
Anello Casera Nauleni,82
Anello dell'Avanza,83
Anello delle Due Forcelle,84
Anello delle Giulie,85
Anello dello Strabut,86
Anello del Monte Lavara,87
Anello di Bianchi,88
Anello Masareit,89
Anello monte Colmaier,90
Anello Monte Colmaier,91
Antica Strada Comunale,92
Arco del Biancospino,93
Arco del Bragozzo,94
Arco del Caiccio,95
Arco del Grecale,96
Arco della Ginestra,97
Arco della Gondola,98
Arco dell'Alba,99
Arco della Luna,100
Arco della Paranza,101
Arco della Tartana,102
Arco della vela,103
Arco delle Fonti,104
Arco delle Ortene,105
Arco dell'Erica,106
Arco del Libeccio,107
Arco del Maestrale,108
Arco del Tramonto,109
Area della Carlessa,110
Area di parcheggio Campiolo est,111
Area di servizio Campiolo ovest,112
Area di servizio Duino Nord,113
Area di servizio Duino Sud,114
Area di servizio Sgonico,115
Area di sosta,116
Area festeggiamenti,117
Area servizio Fella Est,118
Argine Canale,119
Argine Isonzo,120
Argine Laguna Cormor - Turgnano,121
Argine Mura,122
Argine Stella da Foce ad Aviosuperficie Piancada,123
Argine Turgnano - Laguna - Foce Stella,124
Argini Fiume Stella,125
Arlecchino trail,126
Aurisina Santa Croce / Nabrežina Križ,127
Autostrada Alpe-Adria,128
Autostrada Conegliano-Portogruaro,129
Autostrada Portogruaro-Conegliano,130
Autostrada Portogruaro-Sacile,131
Autostrada Serenissima,132
Autostrada Sistiana-Rabuiese,133
Autostrada Villesse-Gorizia,134
Banne / Bani,135
Basso S.Severo,136
Belvedere Guido De Santi,137
Bia Beorchia,138
Borc da la Fontane,139
Borc di Sant'Ignazio,140
Borgata Campel di Sopra,141
Borgata Chiarzuela,142
Borgata Clez,143
Borgata Franco Bertagnolli,144
Borgata Maleon,145
Borgata Palù,146
Borgata Peressine,147
Borgata Selva,148
Borgata Val,149
Borgo Alpi,150
Borgo al Sole,151
Borgo Alto,152
Borgo Ampiano,153
Borgo Aquileia,154
Borgo Aurora,155
Borgo Avon,156
Borgo Baiutti,157
Borgo Baselia,158
Borgo Basso,159
Borgo Bello,160
Borgo Bier,161
Borgo Bocon,162
Borgo Bombardier,163
Borgo Burelli,164
Borgo Buse,165
Borgo Ca' Martin,166
Borgo Canal del Ferro,167
Borgo Cancellier,168
Borgo Candeletis,169
Borgo Capovilla,170
Borgo Castello,171
Borgo Cec,172
Borgo Centa,173
Borgo Centa San Michele,174
Borgo Chiesa San Giacomo,175
Borgo Cilia,176
Borgo Cividale,177
Borgo Clementins,178
Borgo Clendis,179
Borgo Cleva di Sotto,180
Borgo Comatars,181
Borgo Comparetti,182
Borgo Coricama,183
Borgo Costalunga,184
Borgo Costapiana,185
Borgo Cotel,186
Borgo Cret,187
Borgo Cretto,188
Borgo Dagnola,189
Borgo Degano,190
Borgo dei Boffo,191
Borgo dei Fabbri,192
Borgo dei Mulini,193
Borgo del Bianco,194
Borgo della Chiesa,195
Borgo della Pace,196
Borgo della Speranza,197
Borgo del Mulino,198
Borgo di Sopra,199
Borgo di Sotto,200
Borgo Dolenzicco,201
Borgo Fabbro,202
Borgo Faris,203
Borgo Flaipano,204
Borgo Foranesi,205
Borgo Forcella,206
Borgo Fornasatte,207
Borgo Franceschina,208
Borgo Frattins,209
Borgo Fulin,210
Borgo Garzot,211
Borgo Gian Guido Stefanelli,212
Borgo Giuseppe Verdi,213
Borgo Gobbo,214
Borgo Gortani,215
Borgo Gretto,216
Borgo Iouf,217
Borgo Isola,218
Borgo Italia,219
Borgo Juretigh,220
Borgo Libertà,221
Borgo Linussio,222
Borgo Lucardi,223
Borgo Malborghetto,224
Borgo Masutti,225
Borgo Matteus,226
Borgo Mattielig,227
Borgo Menis,228
Borgo Menut,229
Borgo Mesinis,230
Borgo Mezzoli,231
Borgo Miar,232
Borgo Minins,233
Borgo Mizzari,234
Borgo Modena,235
Borgo Moia,236
Borgo Molinars,237
Borgo Morosini,238
Borgo Nicolò Paganini,239
Borgo Nuova Cecchini,240
Borgo Pacco,241
Borgo Padre Marco d’Aviano,242
Borgo Paulins,243
Borgo Paulins Di Sora,244
Borgo Pecol,245
Borgo Pedrosa,246
Borgo Pian delle Merie,247
Borgo Piccoli,248
Borgo Piè d'Uviel,249
Borgo Piemonte,250
Borgo Pitagora,251
Borgo Plazzaris,252
Borgo Poiana,253
Borgo Polaz,254
Borgo Polazza,255
Borgo Polla,256
Borgo Ponte,257
Borgo Pradaronchs,258
Borgo Preplans,259
Borgo Righini,260
Borgo Rioni,261
Borgo Romaniz,262
Borgo Rosta,263
Borgo Sala,264
Borgo Salamon,265
Borgo Salandri,266
Borgo Salariis,267
Borgo San Cristoforo,268
Borgo Sandrigo,269
Borgo San Felice,270
Borgo San Giacomo,271
Borgo San Leonardo,272
Borgo San Martino,273
Borgo San Nicolò,274
Borgo San Pietro,275
Borgo San Quirino,276
Borgo Santa Maria Maddalena,277
Borgo Sant'Antonio,278
Borgo San Valentino,279
Borgo Schiavoi,280
Borgo Scovertz,281
Borgo Scubla,282
Borgo Sdencina,283
Borgo Serena,284
Borgo Sist,285
Borgo Stremiz,286
Borgota Cottern,287
Borgota Ecche,288
Borgota Fontana,289
Borgota Hoffe,290
Borgota Kratten,291
Borgota Mulbach,292
Borgota Puiche,293
Borgota Soravia,294
Borgo Tinet,295
Borgo Tramontins,296
Borgo Tredolo,297
Borgo Trevisan,298
Borgo Udine,299
Borgo Urana,300
Borgo Val,301
Borgo Valavan,302
Borgo Valavan di Sopra,303
Borgo Valavan di Sotto,304
Borgo Valdestali,305
Borgo Vale,306
Borgo Valle,307
Borgo Vals,308
Borgo Vecchio,309
Borgo Venchiaredo,310
Borgo Venezia,311
Borgo Vergon,312
Borgo Vico,313
Borgo Viola,314
Borgo Zamboni,315
Borgo Zindis Stradello A,316
Borgo Zindis Stradello B,317
Borgo Zindis Stradello C,318
Borgo Zucchiatti,319
Borgo Zucco,320
Bosco Bazzoni,321
Bosco Bazzoni - 1,322
Bretella di Barbeano,323
Bristie / Brišče,324
Busa Fonda,325
Ca' Delle Vallade,326
CAI 1,327
CAI 10,328
CAI 146 - Traversata Carnica,329
CAI 15,330
CAI 173,331
CAI 19,332
C.A.I. 1a,333
CAI 2,334
CAI 3,335
CAI 32,336
C.A.I. 33,337
CAI 33,338
CAI 41,339
CAI 425,340
CAI 43,341
CAI 44,342
CAI 45,343
CAI 736,344
CAI 736-750,345
CAI 736a,346
C.A.I. 745,347
CAI 749,348
CAI 749a,349
C.A.I. 75,350
CAI 750a,351
CAI 750 - Sentiero Naturalistico Monte Matajur,352
C.A.I. 8,353
CAI 8,354
CAI 915,355
CAI 916,356
CAI 917,357
CAI 924,358
CAI 925,359
CAI 966,360
CAI 971,361
CAI 984,362
CAI 984a,363
CAI 985,364
CAI 986,365
CAI 987,366
CAI 987a,367
CAI 988,368
CAI 990,369
CAI 992,370
CAI 993,371
CAI 994,372
CAI N.24,373
CAI N.3,374
CAI n. 3 - Alta Via del Carso,375
CAI N. 75,376
Calle Alessandro Volta,377
Calle Arrigo,378
Calle Auguste Rodin,379
Calle Bachiocco,380
Calle Beata,381
Calle Benvenuto Cellini,382
Calle Bertrando,383
Calle Bregadeno,384
Calle Bruegel,385
Calle Burchio,386
Calle Canale,387
Calle Canova,388
Calle Cappellai,389
Calle Carbon,390
Calle Carsimano,391
Calle Castro,392
Calle Cezanne,393
Calle Chiusa,394
Calle Claude Debussy,395
Calle Consoli,396
Calle Corbatto,397
Calle Corneille,398
Calle Corona,399
Calle De Bernardis,400
Calle Degrassi,401
Calle dei Budigna,402
Calle dei Cestai,403
Calle dei Fermapase,404
Calle dei Fortes,405
Calle dei Graziadio,406
Calle dei Landi,407
Calle dei Lauri,408
Calle dei Luca,409
Calle dei Macellai,410
Calle dei Marion,411
Calle dei Naccari,412
Calle dei Pancera,413
Calle dei Petracca,414
Calle dei Senesi,415
Calle del Castello,416
Calle del Ghetto,417
Calle della Loggia,418
Calle della Madonna,419
Calle dell'Annunciata,420
Calle dell'Annunziata,421
Calle della Pescheria,422
Calle delle Monache,423
Calle delle Mura,424
Calle delle Oche,425
Calle dell'Ospedaletto,426
Calle del Palazzo,427
Calle del Pirit,428
Calle del Pozzo,429
Calle del Sorriso,430
Calle del Touf,431
Calle del Volto,432
Calle Diego Velasquez,433
Calle Dietro Chiesa,434
Calle Donatello,435
Calle don Tommaso Christ,436
Calle Dus,437
Calle Emo,438
Calle Farra Bombizza,439
Calle Felix Mendelssohn,440
Calle Fidia,441
Calle Franz Schubert,442
Calle Friedrich Schiller,443
Calle George Gordon Byron,444
Calle Georges Bizet,445
Calle Giambattista Tiepolo,446
Calle Gian Lorenzo Bernini,447
Calle Giovanni Apostoli,448
Calle Giuseppe Parini,449
Calle Giuseppe Verdi,450
Calle Gordino,451
Calle Grimani,452
Calle Guglielmo Oberdan,453
Calle Jean-François Millet,454
Calle Jean Racine,455
Calle Johann Sebastian Bach,456
Calle Johann Wolfgang von Goethe,457
Calle Leonardo da Vinci,458
Calle Lisetto,459
Calle Luca Farra,460
Calle Ludwig van Beethoven,461
Calle Lunga,462
Calle Maccan,463
Calle Maccari,464
Calle Maran,465
Calle Marchesan,466
Calle Merlato,467
Calle Michelangelo Buonarroti,468
Calle Miguel de Cervantes,469
Calle Moliere,470
Calle Monferà,471
Calle Monte Albano,472
Calle Monticula,473
Calle Paul Gauguin,474
Calle Pierre-Auguste Renoir,475
Calle Pieter Paul Rubens,476
Calle Pietro Moro,477
Calle Popone,478
Calle Porta Piccola,479
Calle Prassitele,480
Calle Priuli,481
Calle Rembrandt,482
Calle Richard Wagner,483
Calle Rinaldis,484
Calle Robert Schumann,485
Calle Rossetti,486
Calle Sacchia,487
Calle San Francesco,488
Calle San Gallo,489
Calle San Giacomo,490
Calle San Vito,491
Calle Scala d'Oro,492
Calle Schubert,493
Calle Secundis,494
Calle Silvestri,495
Calle Squero vecchio,496
Calle Storta,497
Calle Tiepolo,498
Calle Tognon,499
Calle Tomasella,500
Calle Toso,501
Calle Tunisi,502
Calle Turchia,503
Calle Varmazia,504
Calle William Shakespeare,505
Calle Wolfgang Amadeus Mozart,506
Calle Zanini,507
Calle Zeno,508
Calle Zita,509
Caminada su l'acqua,510
Campiello della Scala,511
Campiello della Torre,512
Campiello Giovanni Emo,513
Campiello Porta Grande,514
Campiello Tonegazzo,515
Camping Mare Pineta,516
Campo Claudio Monteverdi,517
Campo dei Patriarchi,518
Campo del Belvedere,519
Campo Marzio,520
Campone - Pàlcoda,521
Campo Patriarca Elia,522
Campo Pietro Metastasio,523
Campo Porta Nuova,524
Campo San Giacomo,525
Campo San Luigi,526
Campo San Niceta,527
Campo San Rocco,528
Campo Sant'Ermagora e Fortunato,529
Canalone Findenegg,530
Cannoniere del Brestovec,531
Canyoning approach Rio Favarinis,532
Capo di Piazza Gianni Bartoli,533
Capo di Piazza Monsignor Antonio Santin,534
Carraia di Locavaz,535
Casa di Avinal,536
Casali Barazzat,537
Casali Bosco,538
Casali Braide,539
Casali Bronzan,540
Casali Brosadola,541
Casali Campeis,542
Casali Catocchie,543
Casali Cos,544
Casali Costa,545
Casali del Forte,546
Casali De Luca,547
Casali di Vendoglio,548
Casali Dose,549
Casali Ferrovia,550
Casali Florit,551
Casali Fornaciata,552
Casali Fraida,553
Casali Giambreaz,554
Casali Grions,555
Casali Isola,556
Casali Laurini,557
Casali Lini,558
Casali Loreto,559
Casali Magretti,560
Casali Malina,561
Casali Maniassi Tedeschi,562
Casali Mantica,563
Casali Marchetti,564
Casali Marcotti,565
Casali Marianis,566
Casali Menot,567
Casali Molino Cainero,568
Casali Moretton,569
Casali Nogherate,570
Casali Orvenco,571
Casali Paludo Destra,572
Casali Paludo di Mezzo,573
Casali Paludo Sinistra,574
Casali Pecoi,575
Casali Petrons,576
Casali Pitassi,577
Casali Potocco,578
Casali Pra' Angeli,579
Casali Pra' di Pieve,580
Casali Propetto,581
Casali Pustot,582
Casali Pustot sx,583
Casali Reganazzi,584
Casali Rieppi,585
Casali Sagree,586
Casali Stella,587
Casali Tenuta Regina,588
Casali Tunella,589
Casali Vena,590
Casali Villa Carlo,591
Casali Volpares,592
Casali Volta,593
Casali Zamparutti,594
Casali Zuccola,595
Case Basso,596
Case Budin,597
Case Canale Alto,598
Case Colloredo,599
Case Cudicio,600
Case del Bivio,601
Case del Malina,602
Case Driulin,603
Case in Magnis,604
Case Marsura Gugliola,605
Case Martini,606
Case Milocco,607
Case Molino di Sopra,608
Caseneri - Črnci,609
Case Pecol,610
Case Petos,611
Case Pra' della Roggia,612
Case Presa,613
Casera Chiout di Tassot,614
Case Salet,615
Case Sparse Baloco,616
Case Sparse Ceccon,617
Case Sparse Faet,618
Case Sparse Gaetan,619
Case Sparse Michel,620
Case Sparse Rocca Bernarda,621
Case Sparse San Vito,622
Case Venturini,623
Casolari Piluch,624
Cavalcavia Sandro Pertini,625
Cavalcavia Santi Ermacora e Fortunato,626
Cengia del Sole,627
Cengle dal Bec,628
Cengle dal Malâr,629
Centro polifunzionale di Pietrarossa,630
Centro Rivarotta (già via San Martino),631
Ces dale Blancjdiele,632
Cesta IX. korpusa,633
Chiesa Crocifisso della Subida,634
Chiout di Gus,635
Chiout Martin,636
Chiout Zucuin,637
Chiusa di Bevazzana,638
Ciclabile delle Rogge,639
Ciclabile lungomare Trieste,640
Ciclabile Trieste-Miramare,641
Ciclabile Trieste - Parenzo,642
Ciclopedonale Parenzana,643
Ciclopedonale V-J,644
Ciclovia AlpeAdria,645
Ciclovia AlpeAdria (Sentiero degli Spalti),646
Circonvallazione sud,647
Clap Forat,648
Clivio Artemisio,649
Col dei Piais,650
