odonimo,lat,lon
Borgata Palù,46.5648063,12.6801135
Borgota Cottern,46.5683332,12.6934710
Borgota Ecche,46.5711740,12.7079875
Borgota Fontana,46.5681635,12.6961366
Borgota Hoffe,46.5685223,12.6953305
Borgota Kratten,46.5693354,12.6983510
Borgota Mulbach,46.5671056,12.6899215
Borgota Puiche,46.5724020,12.7090282
Borgota Soravia,46.5700425,12.7026186
Ferrata CAI Portogruaro,46.6227870,12.7295023
Ferrata dei Cinquanta,46.5280161,12.6732382
Itinerario naturalistico Longrone,46.5591433,12.7234772
Itinerario naturalistico Rio Lech,46.5587141,12.6998487
Monte Siera - Canalone Nord Ovest,46.5467574,12.7084621
Monte Siera - Canalone Sud,46.5469083,12.7111532
Percorso fortini monte Chiadenis,46.6210137,12.7250543
Ponte Schordan,46.5985895,12.7211394
Sentiero Attrezzato,46.5512742,12.7387922
Sentiero Corbellini,46.5411286,12.6973770
Sentiero del Codarûl,46.5453426,12.7296651
Sentiero delle marmotte,46.6229154,12.7242232
Sentiero Frassati,46.6165094,12.6948791
Sentiero Naturalistico Piave,46.6046450,12.7219901
Strada Provinciale 22 Val Sesis,46.5700329,12.7222116
Via Crucis,46.5684190,12.6881318
Via Ferrata,46.5529458,12.7344706
Via Ferrata Piepo Sartor,46.6279560,12.7226683
"Via ferrata ""Simone""",46.5360251,12.6815817
"Via normale ""Giovanni Paolo II""",46.6311858,12.7262161
Via normale Terza Grande,46.5265952,12.6216004
A.G. - Anello delle Giulie,46.4192467,13.4443780
AG Anello delle Giulie,46.4281414,13.4353292
Alta Via Resiana,46.3730358,13.4187232
Autostrada Alpe-Adria,46.4348137,13.3130047
Canalone Findenegg,46.4359534,13.4313236
ex 427,46.4425290,13.2775174
Ferrata Norina,46.4237745,13.3980677
Forcella de lis Sieris,46.4202810,13.4550577
Galleria Fortezza della Chiusa,46.4174335,13.3152767
Galleria Peraria,46.3953944,13.2659527
Galleria Raccolana,46.4132007,13.3182483
Galleria Volt da l'aghe,46.3933952,13.4592324
Galleria Zannier,46.3991845,13.2761264
Grande Cengia,46.4343279,13.4322826
La Scjalinone,46.4234986,13.3163535
Piazzale Slovenia,46.3874462,13.4730847
Piazza Pieroni,46.4082828,13.3104844
Ponte Peraria,46.3960610,13.2689032
Ponte Peraria I,46.3958835,13.2651683
Ponte Peraria II,46.3955915,13.2748178
Ponte Peraria III,46.3967535,13.2796702
Ponte Volt da l'âghe,46.3936520,13.4569964
Scala Pipan,46.4341996,13.4396341
Sentiero attrezzato Ceria - Merlone,46.4196477,13.4677691
Sentiero attrezzato Leva,46.4290203,13.4455668
Sentiero Botanico del Bila Pec,46.3731543,13.4571852
Sentiero del Goriuda,46.3943481,13.4357590
Sentiero Sereno,46.3874344,13.4701419
Strada Comunale Moggio Ovedasso,46.3967555,13.2692571
Troi dai Sacs,46.3862200,13.4529921
Troi da la Seate,46.4109849,13.2576349
Via Arzin,46.4089216,13.3142996
